dataset,experiment,30%,50%,70%
stock,temporal_kernel_sigma_y,0.0108,0.0115,0.0100
stock,freq_dependent_sigma_y,0.0173,0.0163,0.0131
stock,annealed_sigma_y,0.0136,0.0124,0.0104
stock,spectral_jacobian,0.0122,0.0125,0.0107
stock,decomp_proj_jacobian,0.0080,0.0092,0.0111
stock,hybrid_jac_decomp,0.0148,0.0126,0.0102
stock,freq_gated_score,0.0136,0.0122,0.0108
stock,trend_seasonal_score,0.0141,0.0118,0.0108
stock,decomp_consistency,0.0120,0.0092,0.0117
stock,warmstart_cg,0.0113,0.0121,0.0111
stock,preconditioned_cg,0.0156,0.0128,0.0109
stock,fourier_cg,0.0134,0.0122,0.0111
stock,annealed_obs_mask,0.0133,0.0115,0.0111
stock,multiscale_cascade,0.0128,0.0117,0.0100
stock,periodic_correction,0.0142,0.0119,0.0109
energy,temporal_kernel_sigma_y,0.0383,0.0451,0.0919
energy,freq_dependent_sigma_y,0.0496,0.0510,0.0927
energy,annealed_sigma_y,0.0405,0.0473,0.0928
energy,spectral_jacobian,0.0411,0.0456,0.1192
energy,decomp_proj_jacobian,-,0.0460(r),0.0902
energy,hybrid_jac_decomp,-,0.0453(r),0.0800
energy,freq_gated_score,0.0402,0.0446,0.0886
energy,trend_seasonal_score,-,-,0.1093
energy,decomp_consistency,-,0.3171(r),0.4215
energy,warmstart_cg,0.3102,0.0475,0.0941
energy,preconditioned_cg,0.0434,0.0506,0.0967
energy,fourier_cg,0.0412,0.0444,0.0858
energy,annealed_obs_mask,0.0395,0.0451,0.0935
energy,multiscale_cascade,0.0424,0.0526,0.1152
energy,periodic_correction,0.0419,0.0461,0.1024
weather,temporal_kernel_sigma_y,0.0266,0.0315,-
weather,freq_dependent_sigma_y,0.0351,0.0482,-
weather,annealed_sigma_y,0.0284,0.0319,-
weather,spectral_jacobian,0.0280,0.0307,-
weather,decomp_proj_jacobian,-,-,0.0494(r)
weather,hybrid_jac_decomp,-,-,0.0513
weather,freq_gated_score,0.0294,-,-
weather,trend_seasonal_score,-,-,0.0529(r)
weather,decomp_consistency,-,-,0.2083(r)
weather,warmstart_cg,0.0280,-,-
weather,preconditioned_cg,0.0301,-,-
weather,fourier_cg,0.0283,-,-
weather,annealed_obs_mask,0.0289,-,-
weather,multiscale_cascade,-,-,-
weather,periodic_correction,-,-,-
ETTh1,temporal_kernel_sigma_y,0.0157,0.0186,0.0249
ETTh1,freq_dependent_sigma_y,0.0199,0.0232,0.0285
ETTh1,annealed_sigma_y,0.0161,0.0187,0.0260
ETTh1,spectral_jacobian,0.0164,0.0198,0.0243
ETTh1,decomp_proj_jacobian,0.0361(r),0.0183,0.0279
ETTh1,hybrid_jac_decomp,(r),0.0177,0.0292
ETTh1,freq_gated_score,0.0171,0.0196,0.0248
ETTh1,trend_seasonal_score,-,0.0189(r),0.0257
ETTh1,decomp_consistency,0.0361(r),0.0770,0.1111
ETTh1,warmstart_cg,0.0172,0.0176,0.0216
ETTh1,preconditioned_cg,0.0158,0.0144,0.0250
ETTh1,fourier_cg,0.0166,0.0189,0.0237
ETTh1,annealed_obs_mask,0.0131,0.0105,0.0154
ETTh1,multiscale_cascade,0.0162,0.0204,0.0687
ETTh1,periodic_correction,0.0158,0.0175,0.0292
ETTh2,temporal_kernel_sigma_y,0.0119,0.0102,0.0109
ETTh2,freq_dependent_sigma_y,0.0126,0.0092,0.0136
ETTh2,annealed_sigma_y,0.0120,0.0101,0.0123
ETTh2,spectral_jacobian,0.0126,0.0103,0.0118
ETTh2,decomp_proj_jacobian,0.0199(r),0.0098,0.0115
